official_name,osm_street_name,match_key,zone_numbers,tariff_zone,price_label,time_rules,stall_count,source,source_confidence
VIA VITTORIO EMANUELE,Via Vittorio Emanuele II,viavittorioemanueleii,1;3,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,145,amts_piano_generale_sosta,0.82
VIA VITTORIOEMANUELE ORLANDO,Via Vittorio Emanuele Orlando,viavittorioemanueleorlando,18,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,25,amts_piano_generale_sosta,0.82
VIA VITTORIO EMANUELE,Via Vittorio Emanuele Secondo,viavittorioemanuelesecondo,1;3,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,145,amts_piano_generale_sosta,0.82
VIA ZOCCOLANTI,Via Zoccolanti,viazoccolanti,43,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,21,amts_piano_generale_sosta,0.82
VIALE AFRICA,Viale Africa,vialeafrica,19,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,11,amts_piano_generale_sosta,0.82
VIALE ALCIDE DE GASPERI,Viale Alcide De Gasperi,vialealcidedegasperi,19,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,56,amts_piano_generale_sosta,0.82
VIALE ARTALE ALAGONA,Viale Artale Alagona,vialeartalealagona,42,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,8,amts_piano_generale_sosta,0.82
VIALE LIBERTA',Viale della Libertà,vialedellalibert,18;20,A/B,Tariffa AMTS secondo sottozona: A o B; verifica segnaletica locale,Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,42,amts_piano_generale_sosta,0.82
VIALE MARIO RAPISARDI,Viale Mario Rapisardi,vialemariorapisardi,7;8;13,A/B,Tariffa AMTS secondo sottozona: A o B; verifica segnaletica locale,Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,89,amts_piano_generale_sosta,0.82
VIALE VITTORIO VENETO,Viale Vittorio Veneto,vialevittorioveneto,17,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,27,amts_piano_generale_sosta,0.82
VIALE XX SETTEMBRE,Viale XX Settembre,vialexxsettembre,18,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,37,amts_piano_generale_sosta,0.82
